Demo_RDM,Subject,ROI,RSA_Score with p-value
layer_4_pca.pkl,sub02,LOC,"(0.13833858365657115, 0.0)"
layer_4_pca.pkl,sub02,PPA,"(0.06591673228175843, 0.0)"
layer_4_pca.pkl,sub02,STS,"(0.04252430398080902, 0.0)"
layer_4_pca.pkl,sub02,V1,"(0.1377998958327548, 0.0)"
layer_4_pca.pkl,sub02,V2,"(0.1072098527963006, 0.0)"
layer_4_pca.pkl,sub02,V3,"(0.10867031550602695, 0.0)"
layer_4_pca.pkl,sub02,V4,"(0.1031665573997565, 0.0)"
layer_4_pca.pkl,sub03,EBA,"(0.14364496995285922, 0.0)"
layer_4_pca.pkl,sub03,FFA,"(0.09238602908746775, 0.0)"
layer_4_pca.pkl,sub03,LOC,"(0.1479339469589553, 0.0)"
layer_4_pca.pkl,sub03,PPA,"(0.07203397147373368, 0.0)"
layer_4_pca.pkl,sub03,STS,"(0.07683091082289037, 0.0)"
layer_4_pca.pkl,sub03,V1,"(0.06816630727368904, 0.0)"
layer_4_pca.pkl,sub03,V2,"(0.11042547918046228, 0.0)"
layer_4_pca.pkl,sub03,V3,"(0.10512292265720292, 0.0)"
layer_4_pca.pkl,sub03,V4,"(0.07247660119097964, 0.0)"
layer_4_pca.pkl,sub04,EBA,"(0.14546793920553358, 0.0)"
layer_4_pca.pkl,sub04,FFA,"(0.10671489955707006, 0.0)"
layer_4_pca.pkl,sub04,LOC,"(0.1667527919104782, 0.0)"
layer_4_pca.pkl,sub04,PPA,"(0.07556907549056226, 0.0)"
layer_4_pca.pkl,sub04,STS,"(0.08494905286189154, 0.0)"
layer_4_pca.pkl,sub04,V1,"(0.15385981254430733, 0.0)"
layer_4_pca.pkl,sub04,V2,"(0.12544567650767516, 0.0)"
layer_4_pca.pkl,sub04,V3,"(0.12203786780342125, 0.0)"
layer_4_pca.pkl,sub04,V4,"(0.0876912596829298, 0.0)"
layer_4_pca.pkl,sub05,EBA,"(0.1417436494025606, 0.0)"
layer_4_pca.pkl,sub05,FFA,"(0.07542589158693098, 0.0)"
layer_4_pca.pkl,sub05,LOC,"(0.16536037539253964, 0.0)"
layer_4_pca.pkl,sub05,PPA,"(0.07585924433629665, 0.0)"
layer_4_pca.pkl,sub05,STS,"(0.08861244739229512, 0.0)"
layer_4_pca.pkl,sub05,V1,"(0.1406763790309958, 0.0)"
layer_4_pca.pkl,sub05,V2,"(0.09762705474610782, 0.0)"
layer_4_pca.pkl,sub05,V3,"(0.10468558523800572, 0.0)"
layer_4_pca.pkl,sub05,V4,"(0.08255162528276137, 0.0)"
layer_4_pca.pkl,sub06,EBA,"(0.1235696379804474, 0.0)"
layer_4_pca.pkl,sub06,FFA,"(0.07551585999416843, 0.0)"
layer_4_pca.pkl,sub06,LOC,"(0.14643272455590003, 0.0)"
layer_4_pca.pkl,sub06,PPA,"(0.07202551678518171, 0.0)"
layer_4_pca.pkl,sub06,STS,"(0.04525609711502025, 0.0)"
layer_4_pca.pkl,sub06,V1,"(0.13910000347636792, 0.0)"
layer_4_pca.pkl,sub06,V2,"(0.1268927470242098, 0.0)"
layer_4_pca.pkl,sub06,V3,"(0.10237565692482423, 0.0)"
layer_4_pca.pkl,sub06,V4,"(0.06386585559120105, 0.0)"
layer_4_pca.pkl,sub07,EBA,"(0.07301563144727999, 0.0)"
layer_4_pca.pkl,sub07,FFA,"(0.053849161740670747, 0.0)"
layer_4_pca.pkl,sub07,LOC,"(0.09876165682155424, 0.0)"
layer_4_pca.pkl,sub07,PPA,"(0.021697536991239573, 0.0)"
layer_4_pca.pkl,sub07,STS,"(0.04192510857918543, 0.0)"
layer_4_pca.pkl,sub07,V1,"(0.059583026612885455, 0.0)"
layer_4_pca.pkl,sub07,V2,"(0.0700800000700648, 0.0)"
layer_4_pca.pkl,sub07,V3,"(0.06914721291168455, 0.0)"
layer_4_pca.pkl,sub07,V4,"(0.05655998929667291, 0.0)"
layer_4_pca.pkl,sub08,EBA,"(0.0886915590517441, 0.0)"
layer_4_pca.pkl,sub08,FFA,"(0.11687599853298854, 0.0)"
layer_4_pca.pkl,sub08,LOC,"(0.14962966277286818, 0.0)"
layer_4_pca.pkl,sub08,PPA,"(0.07304038533216438, 0.0)"
layer_4_pca.pkl,sub08,STS,"(0.09861926306692764, 0.0)"
layer_4_pca.pkl,sub08,V1,"(0.12428417280981315, 0.0)"
layer_4_pca.pkl,sub08,V2,"(0.09535492497712529, 0.0)"
layer_4_pca.pkl,sub08,V3,"(0.09493078755950803, 0.0)"
layer_4_pca.pkl,sub08,V4,"(0.08418292344221384, 0.0)"
layer_4_pca.pkl,sub09,EBA,"(0.11450282866174619, 0.0)"
layer_4_pca.pkl,sub09,FFA,"(0.1066299974830986, 0.0)"
layer_4_pca.pkl,sub09,LOC,"(0.14991433065064508, 0.0)"
layer_4_pca.pkl,sub09,PPA,"(0.08469186821214915, 0.0)"
layer_4_pca.pkl,sub09,STS,"(0.060459028757306084, 0.0)"
layer_4_pca.pkl,sub09,V1,"(0.10440505381167971, 0.0)"
layer_4_pca.pkl,sub09,V2,"(0.1097092586662485, 0.0)"
layer_4_pca.pkl,sub09,V3,"(0.1075439974858138, 0.0)"
layer_4_pca.pkl,sub09,V4,"(0.1162420601612136, 0.0)"
layer_4_pca.pkl,sub10,EBA,"(0.10679879337753312, 0.0)"
layer_4_pca.pkl,sub10,FFA,"(0.05617617831753639, 0.0)"
layer_4_pca.pkl,sub10,LOC,"(0.1263801649312381, 0.0)"
layer_4_pca.pkl,sub10,PPA,"(0.06185766462773948, 0.0)"
layer_4_pca.pkl,sub10,STS,"(0.06328943816557757, 0.0)"
layer_4_pca.pkl,sub10,V1,"(0.1304391062947732, 0.0)"
layer_4_pca.pkl,sub10,V2,"(0.1296929756506083, 0.0)"
layer_4_pca.pkl,sub10,V3,"(0.10477238446961473, 0.0)"
layer_4_pca.pkl,sub10,V4,"(0.05667302689913496, 0.0)"
layer_5_pca.pkl,sub01,EBA,"(0.1316720815630573, 0.0)"
layer_5_pca.pkl,sub01,FFA,"(0.06479499749202954, 0.0)"
layer_5_pca.pkl,sub01,LOC,"(0.17822548457924434, 0.0)"
layer_5_pca.pkl,sub01,PPA,"(0.09011505159310866, 0.0)"
layer_5_pca.pkl,sub01,STS,"(0.07577047166482814, 0.0)"
layer_5_pca.pkl,sub01,V1,"(0.0859196421009978, 0.0)"
layer_5_pca.pkl,sub01,V2,"(0.10397299955702236, 0.0)"
layer_5_pca.pkl,sub01,V3,"(0.11735822351561809, 0.0)"
layer_5_pca.pkl,sub01,V4,"(0.09439054951046731, 0.0)"
layer_5_pca.pkl,sub02,EBA,"(0.14644831312629683, 0.0)"
layer_5_pca.pkl,sub02,FFA,"(0.08315596480846521, 0.0)"
