Demo_RDM,Subject,ROI,RSA_Score
layer_3_pca.pkl,sub05,STS,0.0686632704703896
layer_3_pca.pkl,sub05,V1,0.12165912146638276
layer_3_pca.pkl,sub05,V2,0.08080167566659276
layer_3_pca.pkl,sub05,V3,0.08137359226376735
layer_3_pca.pkl,sub05,V4,0.06455230784305381
layer_3_pca.pkl,sub06,EBA,0.08846095610243492
layer_3_pca.pkl,sub06,FFA,0.05429122361229373
layer_3_pca.pkl,sub06,LOC,0.09483509456865431
layer_3_pca.pkl,sub06,PPA,0.049885169478424765
layer_3_pca.pkl,sub06,STS,0.039483115945934316
layer_3_pca.pkl,sub06,V1,0.125170711657233
layer_3_pca.pkl,sub06,V2,0.10293002095933339
layer_3_pca.pkl,sub06,V3,0.07282827156710958
layer_3_pca.pkl,sub06,V4,0.04543905418316611
layer_3_pca.pkl,sub07,EBA,0.050468985046444134
layer_3_pca.pkl,sub07,FFA,0.03788125448871598
layer_3_pca.pkl,sub07,LOC,0.06821969659340645
layer_3_pca.pkl,sub07,PPA,0.017773589554920234
layer_3_pca.pkl,sub07,STS,0.033028162863782545
layer_3_pca.pkl,sub07,V1,0.05897108933333689
layer_3_pca.pkl,sub07,V2,0.06821747963738987
layer_3_pca.pkl,sub07,V3,0.06345793254260511
layer_3_pca.pkl,sub07,V4,0.04132122594308902
layer_3_pca.pkl,sub08,EBA,0.05854849503787854
layer_3_pca.pkl,sub08,FFA,0.08079759103032895
layer_3_pca.pkl,sub08,LOC,0.10190909378733774
layer_3_pca.pkl,sub08,PPA,0.051608674744323596
layer_3_pca.pkl,sub08,STS,0.07803174369222309
layer_3_pca.pkl,sub08,V1,0.11780259174936634
layer_3_pca.pkl,sub08,V2,0.07909552606420657
layer_3_pca.pkl,sub08,V3,0.06635278856914018
layer_3_pca.pkl,sub08,V4,0.06656707175145644
layer_3_pca.pkl,sub09,EBA,0.0807023255183703
layer_3_pca.pkl,sub09,FFA,0.07650815126084712
layer_3_pca.pkl,sub09,LOC,0.0979565828132364
layer_3_pca.pkl,sub09,PPA,0.06460454749076243
layer_3_pca.pkl,sub09,STS,0.047388004169406646
layer_3_pca.pkl,sub09,V1,0.09563109121475542
layer_3_pca.pkl,sub09,V2,0.10065044491713274
layer_3_pca.pkl,sub09,V3,0.09224050934494503
layer_3_pca.pkl,sub09,V4,0.08514487366427775
layer_3_pca.pkl,sub10,EBA,0.07265958058006375
layer_3_pca.pkl,sub10,FFA,0.039238447615431486
layer_3_pca.pkl,sub10,LOC,0.08448825057643147
layer_3_pca.pkl,sub10,PPA,0.05026019140265482
layer_3_pca.pkl,sub10,STS,0.04814572351930282
layer_3_pca.pkl,sub10,V1,0.12245861586207527
layer_3_pca.pkl,sub10,V2,0.11406421748601049
layer_3_pca.pkl,sub10,V3,0.08546522171577998
layer_3_pca.pkl,sub10,V4,0.04560972826241327
layer_4_pca.pkl,sub01,EBA,0.11859259147413026
layer_4_pca.pkl,sub01,FFA,0.05960437366336981
layer_4_pca.pkl,sub01,LOC,0.15826529237875417
layer_4_pca.pkl,sub01,PPA,0.08036258179670594
layer_4_pca.pkl,sub01,STS,0.07428854239455701
layer_4_pca.pkl,sub01,V1,0.0951917755933992
layer_4_pca.pkl,sub01,V2,0.10515074305658045
layer_4_pca.pkl,sub01,V3,0.11415191483842975
layer_4_pca.pkl,sub01,V4,0.08676119547626172
layer_4_pca.pkl,sub02,EBA,0.14166073801255713
layer_4_pca.pkl,sub02,FFA,0.07761235881048949
layer_4_pca.pkl,sub02,LOC,0.13833858365657115
layer_4_pca.pkl,sub02,PPA,0.06591673228175843
layer_4_pca.pkl,sub02,STS,0.04252430398080902
layer_4_pca.pkl,sub02,V1,0.1377998958327548
layer_4_pca.pkl,sub02,V2,0.1072098527963006
layer_4_pca.pkl,sub02,V3,0.10867031550602695
layer_4_pca.pkl,sub02,V4,0.1031665573997565
layer_4_pca.pkl,sub03,EBA,0.14364496995285922
layer_4_pca.pkl,sub03,FFA,0.09238602908746775
layer_4_pca.pkl,sub03,LOC,0.1479339469589553
layer_4_pca.pkl,sub03,PPA,0.07203397147373368
layer_4_pca.pkl,sub03,STS,0.07683091082289037
layer_4_pca.pkl,sub03,V1,0.06816630727368904
layer_4_pca.pkl,sub03,V2,0.11042547918046228
layer_4_pca.pkl,sub03,V3,0.10512292265720292
layer_4_pca.pkl,sub03,V4,0.07247660119097964
layer_4_pca.pkl,sub04,EBA,0.14546793920553358
layer_4_pca.pkl,sub04,FFA,0.10671489955707006
layer_4_pca.pkl,sub04,LOC,0.1667527919104782
layer_4_pca.pkl,sub04,PPA,0.07556907549056226
layer_4_pca.pkl,sub04,STS,0.08494905286189154
layer_4_pca.pkl,sub04,V1,0.15385981254430733
layer_4_pca.pkl,sub04,V2,0.12544567650767516
layer_4_pca.pkl,sub04,V3,0.12203786780342125
layer_4_pca.pkl,sub04,V4,0.0876912596829298
layer_4_pca.pkl,sub05,EBA,0.1417436494025606
layer_4_pca.pkl,sub05,FFA,0.07542589158693098
layer_4_pca.pkl,sub05,LOC,0.16536037539253964
layer_4_pca.pkl,sub05,PPA,0.07585924433629665
layer_4_pca.pkl,sub05,STS,0.08861244739229512
layer_4_pca.pkl,sub05,V1,0.1406763790309958
layer_4_pca.pkl,sub05,V2,0.09762705474610782
layer_4_pca.pkl,sub05,V3,0.10468558523800572
layer_4_pca.pkl,sub05,V4,0.08255162528276137
layer_4_pca.pkl,sub06,EBA,0.1235696379804474
layer_4_pca.pkl,sub06,FFA,0.07551585999416843
layer_4_pca.pkl,sub06,LOC,0.14643272455590003
layer_4_pca.pkl,sub06,PPA,0.07202551678518171
layer_4_pca.pkl,sub06,STS,0.04525609711502025
layer_4_pca.pkl,sub06,V1,0.13910000347636792
layer_4_pca.pkl,sub06,V2,0.1268927470242098
layer_4_pca.pkl,sub06,V3,0.10237565692482423
layer_4_pca.pkl,sub06,V4,0.06386585559120105
layer_4_pca.pkl,sub07,EBA,0.07301563144727999
layer_4_pca.pkl,sub07,FFA,0.053849161740670747
layer_4_pca.pkl,sub07,LOC,0.09876165682155424
layer_4_pca.pkl,sub07,PPA,0.021697536991239573
layer_4_pca.pkl,sub07,STS,0.04192510857918543
layer_4_pca.pkl,sub07,V1,0.059583026612885455
layer_4_pca.pkl,sub07,V2,0.0700800000700648
layer_4_pca.pkl,sub07,V3,0.06914721291168455
layer_4_pca.pkl,sub07,V4,0.05655998929667291
layer_4_pca.pkl,sub08,EBA,0.0886915590517441
layer_4_pca.pkl,sub08,FFA,0.11687599853298854
layer_4_pca.pkl,sub08,LOC,0.14962966277286818
layer_4_pca.pkl,sub08,PPA,0.07304038533216438
layer_4_pca.pkl,sub08,STS,0.09861926306692764
layer_4_pca.pkl,sub08,V1,0.12428417280981315
layer_4_pca.pkl,sub08,V2,0.09535492497712529
layer_4_pca.pkl,sub08,V3,0.09493078755950803
layer_4_pca.pkl,sub08,V4,0.08418292344221384
layer_4_pca.pkl,sub09,EBA,0.11450282866174619
layer_4_pca.pkl,sub09,FFA,0.1066299974830986
layer_4_pca.pkl,sub09,LOC,0.14991433065064508
layer_4_pca.pkl,sub09,PPA,0.08469186821214915
layer_4_pca.pkl,sub09,STS,0.060459028757306084
layer_4_pca.pkl,sub09,V1,0.10440505381167971
layer_4_pca.pkl,sub09,V2,0.1097092586662485
layer_4_pca.pkl,sub09,V3,0.1075439974858138
layer_4_pca.pkl,sub09,V4,0.1162420601612136
layer_4_pca.pkl,sub10,EBA,0.10679879337753312
layer_4_pca.pkl,sub10,FFA,0.05617617831753639
layer_4_pca.pkl,sub10,LOC,0.1263801649312381
layer_4_pca.pkl,sub10,PPA,0.06185766462773948
layer_4_pca.pkl,sub10,STS,0.06328943816557757
layer_4_pca.pkl,sub10,V1,0.1304391062947732
layer_4_pca.pkl,sub10,V2,0.1296929756506083
